Filename,Peak_dB
A332_disg_v_2.mp4,-69.91154049431402
A424_ele_p_2.mp4,-47.063870488113835
A55_sat_p_2.mp4,-51.43207353049442
A205_int_v_2.mp4,-59.03904239827036
A410_sad_v_3.mp4,-54.78290321286045
A55_sha_v_3_ver1.mp4,-80.0425405277987
A407_gui_v_2.mp4,-70.23105784628478
A91_amu_v_2.mp4,-52.643522922289
A438_tri_p_3.mp4,-53.38889278456213
A55_ele_v_2_ver1.mp4,-65.63499896313627
A64_adm_p_2.mp4,-53.11380616212341
A437_disa_v_3.mp4,-62.87947810285053
A405_disa_p_2.mp4,-64.42427177340696
A55_hop_v_3_ver1.mp4,-52.36972985247747
A221_adm_v_2.mp4,-54.46899180885053
A438_rej_p_3.mp4,-61.67346837391059
A227_hop_v_2.mp4,-49.44972755877874
A425_pri_p_2.mp4,-62.975901315215225
A438_ple_p_3.mp4,-56.554404720593155
A323_disa_p_2.mp4,-41.12542704965466
A425_reg_p_3.mp4,-47.92236695090803
A424_gra_v_3.mp4,-56.243741323462125
A72_exc_v_2.mp4,-41.85450331222207
A102_gra_v_2.mp4,-59.60227224245098
A435_hap_v_2.mp4,-64.15843682908884
A205_sar_p_3.mp4,-51.74552509610863
A424_pos_sur_v_3.mp4,-56.81791324343643
A220_det_v_2.mp4,-50.28997939305394
A426_pea_p_3.mp4,-70.72951591864681
A227_hop_p_2.mp4,-53.0050413015163
A410_hop_v_3.mp4,-66.26454781929948
A205_dist_v_2.mp4,-49.23895985668512
A334_fea_p_2.mp4,-43.632625750765726
A91_sha_p_3.mp4,-49.30294363193654
A55_adm_p_3.mp4,-49.61689009003357
A426_anx_p_2.mp4,-66.18842256969177
A72_fea_p_3.mp4,-32.078204746048264
A417_det_p_3.mp4,-43.81021959857173
A332_neg_sur_v_3.mp4,-54.441078995812816
A323_ple_p_3.mp4,-38.28628213670137
A438_ins_p_2.mp4,-62.353826135131136
A332_adm_p_3.mp4,-47.17570944294265
A205_exc_p_3.mp4,-38.59517582740431
A426_emb_v_3.mp4,-51.56297706714187
A55_gra_v_3_ver1.mp4,-59.65231519637336
A437_disa_p_3.mp4,-51.245204554473496
A227_nos_p_3.mp4,-48.046615411662245
A64_bor_v_3.mp4,-67.56265532949328
A207_ins_p_2.mp4,-51.77247624708498
A303_neg_sur_p_3.mp4,-39.11937823998291
A323_anx_p_2.mp4,-42.16585460962989
A424_neu_sit4_p.mp4,-52.03593948191151
A55_fea_v_2.mp4,-47.70753503617136
A410_env_p_3.mp4,-56.58409701516588
A417_hop_v_3.mp4,-83.21823731402404
A205_sha_p_3.mp4,-55.682865760032726
A334_emb_v_3.mp4,-64.09677359294088
A220_ang_p_2.mp4,-35.09166536916467
A303_pri_v_2.mp4,-44.93654140403939
A303_ang_p_2.mp4,-36.155507074200216
A437_pri_p_3.mp4,-44.669097451760926
A102_bor_v_2.mp4,-59.987660951275416
A425_fea_v_2.mp4,-59.21517602665802
A327_ele_p_3.mp4,-41.06335797655972
A405_gui_p_2.mp4,-62.185498693661984
A337_mov_p_3.mp4,-49.396064578703836
A102_amu_v_2.mp4,-59.62209509793241
A220_disa_v_3.mp4,-56.32588243100943
A303_pri_p_3.mp4,-43.84594465079105
A55_amu_p_3.mp4,-35.1971964615269
A55_neg_sur_p_2_ver1.mp4,-52.82604640202932
A205_conc_p_2.mp4,-57.85482446967193
A437_mov_v_2.mp4,-73.5295728726114
A332_conc_v_2.mp4,-75.01261058612874
A220_neu_sit2_v.mp4,-51.28180639907497
A303_int_v_3.mp4,-35.00547951171472
A220_disa_p_3.mp4,-51.72004795940605
A327_tri_p_2.mp4,-43.33290101464342
A91_mov_p_3.mp4,-47.98104566436726
A426_rel_p_3.mp4,-71.6632881476541
A200_sar_v_2.mp4,-51.95361622723241
A435_neu_sit3_v.mp4,-65.86565370476663
A426_neg_sur_v_3.mp4,-68.8315981506548
A323_exc_v_3.mp4,-43.610005695936984
A205_disg_v_3.mp4,-60.34345821913447
A437_exc_p_3.mp4,-48.67302433711353
A435_rel_p_3.mp4,-60.11877110511073
A303_gra_v_2.mp4,-50.231560118761365
A72_reg_p_3.mp4,-41.50203128262631
A424_sha_p_3.mp4,-50.051694483041715
A410_conf_p_2.mp4,-71.90434241685824
A337_dist_p_2.mp4,-29.000834839650334
A438_rej_v_3.mp4,-77.97982149101323
A72_sar_p_2.mp4,-44.95600887522648
A438_anx_p_3.mp4,-58.71083335233541
A221_det_v_2.mp4,-45.74567400800827
A437_det_v_3.mp4,-58.69915260964538
A55_ten_p_2.mp4,-42.84112927466656
A227_sat_p_2.mp4,-49.064807181948765
A102_awe_v_3.mp4,-60.04151822897961
A207_neu_sit4_p.mp4,-58.31789511091717
A207_conf_v_3.mp4,-56.7941173619409
A221_dist_v_3.mp4,-54.685716877552515
A438_sex_v_3.mp4,-58.191366238047245
A426_disa_p_3.mp4,-64.29034562889754
A220_hap_v_3.mp4,-49.585354886888595
A67_det_p_2.mp4,-55.79599607932684
A334_env_v_2.mp4,-59.32171024716545
A334_sha_v_2.mp4,-69.5025978948504
A334_pri_p_2.mp4,-56.527131772855256
A102_gui_v_3.mp4,-59.87523969644174
A102_adm_p_3.mp4,-51.809601547763144
A67_ang_p_2.mp4,-49.436124275331544
A323_scha_p_2.mp4,-45.07408498858858
A323_fea_v_3.mp4,-60.51564302391097
A405_disa_v_3.mp4,-53.816212468555364
A424_dist_v_2.mp4,-73.6351148421593
A327_ten_p_2.mp4,-50.56699980649009
A327_neu_sit1_p.mp4,-46.48464008907153
A337_ang_p_3.mp4,-36.156691899333225
A227_sex_p_2.mp4,-49.9863883295791
A91_det_p_3.mp4,-47.56175341133187
A435_ins_v_2.mp4,-72.050031422019
A405_hap_v_2.mp4,-44.727800090379546
A327_ple_p_3.mp4,-54.54500239995875
A435_ple_p_2.mp4,-68.66900007057991
A435_mov_p_2.mp4,-69.94494371723698
A407_neu_sit2_p.mp4,-54.07677927566145
A332_tri_p_2.mp4,-54.16786624058149
A72_mov_p_3.mp4,-36.184282658517006
A227_bor_p_2.mp4,-48.03699157815697
A207_nos_v_2.mp4,-54.332181529382176
A407_awe_p_2.mp4,-51.396757657006575
A407_emb_v_2.mp4,-64.96691467211058
A102_neg_sur_v_2.mp4,-54.13083045264317
A407_ang_v_3.mp4,-45.11939873827349
A207_rel_p_3.mp4,-47.728113846920266
A221_sad_p_2.mp4,-50.82962793413905
A438_gra_v_3.mp4,-67.1342551692094
A327_ins_p_2.mp4,-56.753043386236385
A417_pea_v_3.mp4,-74.06225966376209
A405_hap_p_3.mp4,-40.97755045458052
A410_sex_p_3.mp4,-68.21087588605438
A227_neu_sit3_p.mp4,-53.128886264822704
A303_ple_v_2.mp4,-55.78569453832925
A337_rel_v_2.mp4,-47.55767017040648
A102_disg_p_3.mp4,-48.96607202382691
A425_rej_v_2.mp4,-64.17421640649073
A435_nos_v_3.mp4,-76.77875195273947
A435_ele_v_2.mp4,-65.39020322161542
A102_sha_v_2.mp4,-76.59394292250171
A337_ten_p_2.mp4,-44.1222471036009
A327_adm_p_2.mp4,-43.55986709737153
A220_pos_sur_v_2.mp4,-50.748355391493675
A438_det_p_2.mp4,-56.3438672403523
A424_amu_v_3.mp4,-45.7989640577926
A227_neu_sit4_v.mp4,-44.61486607472782
A205_dou_v_3.mp4,-51.211971087237636
A72_neu_sit1_v.mp4,-53.1581150882089
A205_awe_v_3.mp4,-62.41846108782365
A332_dou_p_2.mp4,-55.37671982024263
A200_rej_v_2.mp4,-55.63469272783506
A337_neu_sit1_p.mp4,-44.59272083432456
A55_rel_p_3.mp4,-31.773649628447536
A91_conc_p_3.mp4,-49.13570624994628
A425_sha_v_2.mp4,-71.09699675589474
A410_rel_v_2.mp4,-55.41820794242403
A437_ten_v_2.mp4,-67.38897370142311
A64_env_v_2.mp4,-56.76125198993211
A426_sex_v_3.mp4,-69.12001833558921
A437_hap_p_3.mp4,-45.4137016640367
A221_sar_v_3.mp4,-44.344299132866084
A303_ten_v_2.mp4,-52.40794597368016
A220_awe_p_3.mp4,-55.33546911312974
A303_disa_v_2.mp4,-44.09968653845422
A327_ele_v_2.mp4,-62.292477739223486
A64_pea_p_2.mp4,-57.88703335733085
A207_int_v_3.mp4,-54.41687679464698
A424_dou_p_2.mp4,-49.91080461594876
A200_pri_v_2.mp4,-64.359061310754
A220_disg_p_3.mp4,-45.10893937387972
A437_det_p_3.mp4,-43.36225841197394
A407_adm_p_2.mp4,-49.445206961999595
A221_amu_v_3.mp4,-46.0087637272423
A417_int_v_2.mp4,-56.1693488182345
A334_det_v_2.mp4,-66.10465398206597
A332_awe_v_2.mp4,-56.08644777608586
A221_neu_sit1_p.mp4,-63.11921031242066
A67_sha_v_3.mp4,-48.562220230842314
A72_scha_v_3.mp4,-52.88167364152432
A200_cont_v_3.mp4,-82.4058594375804
A410_hop_p_2.mp4,-60.503369946322934
A334_ten_v_2.mp4,-55.46185830446697
A410_anx_v_2.mp4,-64.00537889153401
A407_sar_p_3.mp4,-45.80549733660129
A425_disg_p_2.mp4,-56.53331664162992
A205_conc_v_2.mp4,-60.71450960453347
A205_ang_p_2.mp4,-55.2840585271381
A72_ple_v_2.mp4,-61.08261692973005
A323_pri_p_2.mp4,-42.43606443205113
A334_rej_p_2.mp4,-53.84320760508635
A323_pea_p_2.mp4,-51.06778455327438
A303_fea_v_2.mp4,-46.787025078852395
A337_hap_p_2.mp4,-43.389761170395936
A435_gra_v_3.mp4,-63.63952615570393
A221_exc_p_3.mp4,-43.907906481635884
A207_pos_sur_p_2.mp4,-54.43626140076883
A200_ele_v_2.mp4,-64.30533601433113
A327_rel_v_3.mp4,-55.61724417814289
A337_dou_p_3.mp4,-35.539827110135725
A91_dist_v_2.mp4,-59.56703486178746
A424_hop_v_2.mp4,-73.97398338482562
A410_scha_v_3.mp4,-45.952604033522505
A332_bor_p_2.mp4,-60.995733729224725
A425_conf_v_2.mp4,-67.24723615792098
A207_gra_v_3.mp4,-52.00716928931331
A102_adm_v_2.mp4,-57.94137418929621
A205_ele_p_3.mp4,-57.24792398139953
A426_sha_v_2.mp4,-71.71108184615778
A405_reg_p_3.mp4,-50.19613117580359
A417_scha_p_3.mp4,-50.94219756376007
A327_sha_v_3.mp4,-64.25318829628053
A221_fea_p_2.mp4,-48.60800169841389
A435_anx_p_3.mp4,-63.116012148460115
A435_ang_v_3.mp4,-36.653349993699734
A207_ten_p_3.mp4,-58.10616429473078
A221_neg_sur_v_3.mp4,-44.881940050736155
A200_reg_v_2.mp4,-59.37929277152212
A221_sat_v_3.mp4,-47.89344554405084
A227_dist_p_2.mp4,-39.777350908911835
A405_amu_p_2.mp4,-52.66900217765205
A332_gui_p_3.mp4,-48.7740696171479
A67_gui_p_3.mp4,-49.8000110850156
A327_pri_v_2.mp4,-54.15544804586137
A55_ten_p_3.mp4,-42.05303282833634
A332_mov_v_2.mp4,-58.543926265328814
A72_sat_v_3.mp4,-50.54994392005472
A303_sex_v_2.mp4,-47.112308591152114
A425_disa_v_3.mp4,-76.07339682585445
A424_disa_p_3.mp4,-53.91885700098685
A334_ple_p_2.mp4,-56.112213107776476
A437_hap_p_2.mp4,-56.129219717578174
A437_pea_v_2.mp4,-67.8946979903491
A425_gui_p_3.mp4,-61.95348702419466
A221_cont_p_2.mp4,-42.13816384714528
A410_cont_v_3.mp4,-60.13795535229501
A334_neu_sit1_v.mp4,-82.40660977863114
A207_ang_p_2.mp4,-34.324343899227586
A437_disg_v_2.mp4,-60.07888218503962
A64_bor_p_3.mp4,-63.32208642532347
A205_ang_v_3.mp4,-26.47154863080493
A410_det_v_3.mp4,-62.81055242317298
A405_sar_p_3.mp4,-56.2111505761017
A55_scha_p_2.mp4,-55.47509546071965
A327_ins_p_3.mp4,-49.1391754217203
A417_conc_v_3.mp4,-81.7574871291656
A332_exc_p_2.mp4,-46.51421813233405
A205_rel_v_2.mp4,-67.83455707416391
A67_hap_v_2.mp4,-47.253450179496795
A91_sat_v_2.mp4,-51.354723348408086
A438_ele_p_3.mp4,-56.434943061878435
A327_rej_p_3.mp4,-48.47434233433967
A332_adm_p_2.mp4,-52.9547062284091
A327_exc_p_2.mp4,-33.63038735204391
A205_ele_p_2.mp4,-58.769120190344815
A426_det_v_3.mp4,-50.96232094795988
A205_awe_v_2.mp4,-72.1280907057639
A327_neu_sit4_p.mp4,-46.82056959771309
A334_int_v_3.mp4,-57.65642628237189
A64_hap_p_2.mp4,-42.755661346791136
A67_bor_v_2.mp4,-72.64129885968369
A205_neg_sur_p_3.mp4,-54.85191603837252
A91_dist_v_3.mp4,-49.243469308951205
A437_ele_v_2.mp4,-64.4718549115897
A67_pos_sur_v_2.mp4,-51.58074955737394
A334_neu_sit3_v.mp4,-87.13641045296725
A200_pea_v_3.mp4,-56.982316459443744
A410_neg_sur_p_3.mp4,-65.84248628343516
A407_sex_v_2.mp4,-50.987659324255276
A334_env_p_2.mp4,-52.46076591574722
A337_awe_v_3.mp4,-45.821067789076295
A334_ele_p_3.mp4,-46.61376687216941
A220_neg_sur_v_3.mp4,-49.47810382366997
A337_exc_p_2.mp4,-38.009249886749885
A337_tri_v_2.mp4,-30.85323577483258
A207_tri_v_3.mp4,-41.50329305606279
A72_dist_v_2.mp4,-38.312958479404216
A227_sar_v_3.mp4,-42.42151931505135
A221_env_p_2.mp4,-47.30421106584322
A334_sha_p_2.mp4,-53.70132120806421
A72_exc_v_3.mp4,-45.88656899861004
A200_rel_p_2.mp4,-62.40676585771337
A102_conf_v_2.mp4,-58.19450420413943
A426_disa_v_2.mp4,-49.03516206287729
A91_pos_sur_v_2.mp4,-54.627748462549334
A323_sar_v_2.mp4,-44.102098415932716
A417_det_p_2.mp4,-47.99797070775405
A102_hap_p_2.mp4,-47.492037426010754
A417_disa_p_2.mp4,-49.970366071658994
A334_sar_p_3.mp4,-54.975154227878946
A55_reg_p_2.mp4,-56.89273582822392
A437_sat_v_2.mp4,-67.88716320482655
A91_nos_p_2.mp4,-50.26594122161669
A323_det_p_3.mp4,-40.65020699744183
A417_hap_v_2.mp4,-87.50389457074279
A200_fea_p_2.mp4,-56.7969477212963
A55_awe_p_2.mp4,-60.94040805436776
A327_pea_p_3.mp4,-52.61646716899175
A435_amu_p_2.mp4,-47.75600896175103
A435_pos_sur_p_2.mp4,-60.58424671592931
A426_nos_p_2.mp4,-60.68033115684423
A405_pea_v_2.mp4,-56.22647124223747
A435_neg_sur_p_2.mp4,-75.77309100144683
A334_nos_p_2.mp4,-51.307030991832434
A64_ang_v_3.mp4,-30.53276615186009
A323_env_p_3.mp4,-38.73308455279506
A323_dou_v_3.mp4,-66.19767361616192
A327_env_v_2.mp4,-70.62265821150075
A334_ple_p_3.mp4,-50.00845930199
A220_hap_p_2.mp4,-47.62188425545424
A426_cont_p_3.mp4,-53.71258372469568
A227_rel_p_2.mp4,-39.941317998858416
A337_amu_p_2.mp4,-38.056623312369226
A227_env_v_2.mp4,-55.92038615612634
