subject_id,accurate
vs01,0.6439393939393939
vs02,0.3712121212121212
vs03,0.3181818181818182
vs04,0.4621212121212121
vs05,0.36363636363636365
vs06,0.4128787878787879
vs07,0.3333333333333333
vs08,0.44696969696969696
vs09,0.3787878787878788
vs10,0.48484848484848486
vs100,0.36363636363636365
vs101,0.09090909090909091
vs102,0.4621212121212121
vs103,0.5227272727272727
vs104,0.3939393939393939
vs105,0.4015151515151515
vs106,0.3787878787878788
vs107,0.26515151515151514
vs108,0.3181818181818182
vs109,0.3522727272727273
vs11,0.4621212121212121
vs110,0.42424242424242425
vs111,0.3446969696969697
vs112,0.3484848484848485
vs113,0.2159090909090909
vs114,0.4431818181818182
vs115,0.48484848484848486
vs116,0.44696969696969696
vs117,0.38636363636363635
vs118,0.4621212121212121
vs119,0.3787878787878788
vs12,0.42424242424242425
vs120,0.3787878787878788
vs121,0.11742424242424243
vs122,0.36742424242424243
vs123,0.38636363636363635
vs124,0.3409090909090909
vs125,0.19318181818181818
vs126,0.49242424242424243
vs127,0.42045454545454547
vs128,0.32196969696969696
vs129,0.4393939393939394
vs13,0.25757575757575757
vs131,0.4621212121212121
vs132,0.4772727272727273
vs133,0.39015151515151514
vs134,0.5303030303030303
vs135,0.45454545454545453
vs136,0.4583333333333333
vs137,0.4318181818181818
vs138,0.32575757575757575
vs139,0.48484848484848486
vs14,0.553030303030303
vs140,0.4128787878787879
vs141,0.3712121212121212
vs142,0.4015151515151515
vs143,0.4696969696969697
vs144,0.4772727272727273
vs146,0.42045454545454547
vs147,0.4015151515151515
vs148,0.3977272727272727
vs149,0.32196969696969696
vs15,0.4090909090909091
vs150,0.5227272727272727
vs151,0.29545454545454547
vs152,0.3560606060606061
vs153,0.38636363636363635
vs154,0.45075757575757575
vs155,0.4166666666666667
vs156,0.3484848484848485
vs158,0.42045454545454547
vs159,0.4318181818181818
vs16,0.32575757575757575
vs160,0.2727272727272727
vs161,0.4393939393939394
vs162,0.08333333333333333
vs163,0.4318181818181818
vs164,0.29545454545454547
vs165,0.36363636363636365
vs166,0.4431818181818182
vs167,0.3143939393939394
vs168,0.24621212121212122
vs169,0.38636363636363635
vs17,0.375
vs170,0.1893939393939394
vs171,0.19696969696969696
vs172,0.3939393939393939
vs173,0.3143939393939394
vs174,0.3106060606060606
vs176,0.13636363636363635
vs177,0.4621212121212121
vs178,0.4015151515151515
vs179,0.3446969696969697
vs18,0.5378787878787878
vs180,0.4393939393939394
vs181,0.3143939393939394
vs182,0.3181818181818182
vs183,0.2803030303030303
vs184,0.5151515151515151
vs185,0.4090909090909091
vs19,0.3787878787878788
vs20,0.3939393939393939
vs21,0.375
vs22,0.3939393939393939
vs23,0.3712121212121212
vs24,0.3522727272727273
vs25,0.4772727272727273
vs26,0.4053030303030303
vs27,0.10984848484848485
vs28,0.4053030303030303
vs29,0.32575757575757575
vs30,0.3712121212121212
vs31,0.23106060606060605
vs32,0.4696969696969697
vs33,0.4015151515151515
vs34,0.48863636363636365
vs35,0.4659090909090909
vs36,0.4015151515151515
vs37,0.5
vs38,0.4053030303030303
vs39,0.2803030303030303
vs40,0.45075757575757575
vs41,0.49242424242424243
vs43,0.48484848484848486
vs44,0.4166666666666667
vs45,0.11742424242424243
vs46,0.35984848484848486
vs47,0.42424242424242425
vs48,0.4318181818181818
vs49,0.23484848484848486
vs50,0.4090909090909091
vs51,0.4166666666666667
vs52,0.42424242424242425
vs53,0.5
vs54,0.3068181818181818
vs55,0.30303030303030304
vs56,0.36363636363636365
vs57,0.25757575757575757
vs58,0.2727272727272727
vs59,0.5075757575757576
vs61,0.2727272727272727
vs62,0.12121212121212122
vs63,0.12121212121212122
vs64,0.39015151515151514
vs65,0.32575757575757575
vs66,0.10606060606060606
vs67,0.375
vs69,0.2727272727272727
vs70,0.3068181818181818
vs71,0.5113636363636364
vs72,0.4053030303030303
vs73,0.5303030303030303
vs74,0.09090909090909091
vs75,0.26515151515151514
vs76,0.44696969696969696
vs77,0.12121212121212122
vs78,0.3939393939393939
vs79,0.38636363636363635
vs80,0.4621212121212121
vs81,0.4810606060606061
vs82,0.45075757575757575
vs83,0.49242424242424243
vs84,0.13636363636363635
vs85,0.24242424242424243
vs86,0.2916666666666667
vs87,0.07954545454545454
vs88,0.4659090909090909
vs89,0.3522727272727273
vs90,0.4090909090909091
vs91,0.4621212121212121
vs92,0.3333333333333333
vs93,0.3106060606060606
vs94,0.3787878787878788
vs95,0.09848484848484848
vs96,0.3939393939393939
vs97,0.42424242424242425
vs98,0.4318181818181818
vs99,0.13636363636363635
